Item,Quantity,Name,Material
1,1,aero_face,PETG
2,2,face_belt_grabber,PETG
3,1,TITAN-SINK-175-RH,- None -
4,1,V6-175-BREAK,- None -
5,1,V6-NOZZLE-ALL,- None -
6,1,V6-BLOCK-CARTRIDGE,- None -
7,1,SOCK,- None -
8,1,SSX_tensioner_thing_2426505,PETG
9,13,DIN 912 M3 10 mm,Hardened Alloy Steel
10,24,"M3  Hex nut ",Hardened Alloy Steel
11,1,aero_support,PETG
12,4,DIN 912 M3 16 mm,Hardened Alloy Steel
13,1,aero_front_probe,PETG
14,1,aero_front_probe_blank,PETG
15,1,back_corexy,PETG
16,1,tension_slider_9mm_belt_M5,PETG
17,1,tension_slider_9mm_belt_M5_mirror,PETG
18,1,DIN 912 M3 25 mm,Hardened Alloy Steel
19,1,5015 fan,- None -
20,2,DIN 912 M5 45 mm,Hardened Alloy Steel
21,2,M5  Hex nut Nyloc,Hardened Alloy Steel
22,1,top_endstop_plug_mgn12,PETG
23,1,top_mgn12,PETG
24,1,DIN 912 M3 8 mm,Hardened Alloy Steel
25,4,DIN 912 M3 35 mm,Hardened Alloy Steel
26,1,cable_holder,PETG
27,1,unversal_cable_mount,PETG
28,3,DIN 912 M3 12 mm,Hardened Alloy Steel
29,1,bottom_mgn12_aero,PETG
30,1,Duct v2.1 Straight,PETG
